num_sims, time, batch_size, timesteps, no_hits_max, mold_cov_3d, mold_cov_surface
1 14.825042486190796 100 120 1 0.052411867988092796 2.5193608469757867
1 15.792494297027588 100 120 2 0.04765597626324734 2.156651308695226
1 14.617342710494995 100 120 5 0.06483542188156666 2.529163807469856
1 14.359668731689453 100 120 10 0.0627971825709186 2.274286834624056
1 13.941677331924438 100 120 50 0.1195767062246858 2.774237819821586
1 15.946664094924927 1000 120 1 0.5239245618513424 22.752671306734634
1 13.855502843856812 1000 120 2 0.4457920549431671 18.73345750416626
1 13.691283702850342 1000 120 5 0.46704797918278257 16.88069797078718
1 13.904656887054443 1000 120 10 0.680286634682486 18.233506518968728
1 14.409154653549194 1000 120 50 1.1616993480545976 16.312126262131162
2 13.492905378341675 100 120 1 0.06435012680760283 3.1075384766199394
2 13.475987911224365 100 120 2 0.0739589692720865 3.2251740025487696
2 13.491568803787231 100 120 5 0.08152957242592214 3.234976963042839
2 13.954035520553589 100 120 10 0.09220606405312622 3.1369473581021468
2 14.300159692764282 100 120 50 0.17936505933702868 3.538868738358984
2 13.795799970626831 1000 120 1 0.5331451682566551 22.17429663758455
2 14.189368486404419 1000 120 2 0.5720658331885536 21.252818351142043
2 14.46782660484314 1000 120 5 0.7154219980374668 21.44887756102343
2 14.94517993927002 1000 120 10 1.1227786831226991 17.07675718066856
2 15.381596088409424 1000 120 50 1.8069476783968956 17.537496323889815
5 13.636707067489624 100 120 1 0.07735603478983326 3.421233212430154
5 13.810864448547363 100 120 2 0.10385314582825796 4.156455249485345
5 13.649019479751587 100 120 5 0.12297377174243256 4.372120380354867
5 13.725909948348999 100 120 10 0.14092968947909396 3.930987158121753
5 13.904442310333252 100 120 50 0.3251476995557609 4.293696696402313
5 14.133483409881592 1000 120 1 0.7093072801055226 24.98774629938241
5 14.09778118133545 1000 120 2 0.7893809673095532 24.605430840113716
5 14.29311990737915 1000 120 5 1.113752194746972 21.850798941280267
5 14.82252025604248 1000 120 10 1.6614562152225418 22.478188412900696
5 15.610949754714966 1000 120 50 3.4126920191283903 19.47848250171552
10 13.873687028884888 100 120 1 0.09375900828981046 3.9015782766395453
10 13.867902755737305 100 120 2 0.11918847016551475 4.70542103715322
10 14.157198429107666 100 120 5 0.15820619411220604 4.626997353200666
10 13.968466758728027 100 120 10 0.2178004291949634 4.676012155671012
10 14.100722312927246 100 120 50 0.4506450056828053 4.70542103715322
10 15.097553014755249 1000 120 1 0.8296604584485504 24.88971669444172
10 14.969740390777588 1000 120 2 0.9478783384661374 25.644544652485052
10 15.317431926727295 1000 120 5 1.3933792163649263 25.046564062346828
10 15.8534095287323 1000 120 10 1.9318626304351834 20.733261444956376
10 19.049367904663086 1000 120 50 5.0176598877415435 20.635231840015685
100 20.44947123527527 100 120 1 0.11743752553865325 4.419076561121458
100 21.189958333969116 100 120 2 0.13934859812811984 4.852955592588962
100 19.525912284851074 100 120 5 0.19096264101461613 5.213704538770708
100 20.04164457321167 100 120 10 0.280261787574699 5.251543966277815
100 20.84729313850403 100 120 50 0.5927675504537027 5.213998627585531
100 31.188878297805786 1000 120 1 1.0750829126633867 26.47505146554259
100 33.523337841033936 1000 120 2 1.2859057692848983 27.483678070777373
100 33.39312815666199 1000 120 5 1.870100096961957 26.138809920596017
100 39.51129460334778 1000 120 10 3.6578815317077233 23.28507009116753
100 53.649027824401855 1000 120 50 6.952162523379086 21.734927948240372
