num_sims time batch_size timesteps
1 15.273229122161865 1000 120
2 15.015851020812988 1000 120
5 15.673752307891846 1000 120
10 15.820350646972656 1000 120
100 30.80817151069641 1000 120
1 13.5794517993927 100 120
2 15.044838190078735 100 120
5 13.653468370437622 100 120
10 14.12009310722351 100 120
100 19.24967932701111 100 120
5 13.814520835876465 100 200
5 15.943284511566162 100 500
5 15.289162397384644 100 1000
